Price,Area,Location,No. of Bedrooms,Resale,MaintenanceStaff,Gymnasium,24X7Security,PowerBackup,CarParking,StaffQuarter,AC,Wifi,Children'splayarea,LiftAvailable,BED
162500000,6400,"DLF Phase 5, Delhi",5,1,0,1,0,0,0,0,0,0,1,1,0
7500000,1100,"Sector 3 Dwarka, Delhi",2,1,0,0,0,1,0,0,0,0,1,0,0
26000000,1650,"Chittaranjan Park, Delhi",4,1,0,0,0,0,0,0,1,0,1,0,0
3000000,750,"Chattarpur, Delhi",2,1,0,0,0,0,0,0,0,0,0,1,0
3000000,800,"Chattarpur, Delhi",2,1,0,0,0,0,0,0,0,0,0,0,0
5200000,1000,"Dwarka Mor, Delhi",3,0,0,0,0,0,0,0,0,0,0,0,0
18000000,1700,"Vasant Kunj, Delhi",3,1,0,1,0,1,1,0,0,0,1,1,0
35000000,1800,"Vasant Kunj, Delhi",4,1,0,1,0,1,0,0,0,0,0,0,0
4400000,810,"Chattarpur, Delhi",2,0,0,0,0,0,0,0,0,0,0,1,0
15500000,1800,"Sector 13 Dwarka, Delhi",3,1,0,0,0,1,0,0,0,0,1,1,0
27500000,1550,"Greater Kailash, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
8200000,500,"Vasant Kunj, Delhi",1,1,0,0,0,1,0,0,0,0,1,1,0
4799000,950,"Uttam Nagar, Delhi",3,0,0,0,0,0,0,0,0,0,0,0,0
15000000,1250,"Sector-14 Rohini, Delhi",3,1,1,1,1,1,1,0,0,0,1,1,0
14000000,1000,"Paschim Vihar, Delhi",2,1,0,0,0,0,0,0,0,0,0,0,0
6500000,1000,"Dwarka Mor, Delhi",3,0,0,0,0,1,1,0,0,0,0,1,0
3200000,620,"Dwarka Mor, Delhi",2,0,0,0,0,0,1,0,0,0,0,1,0
6600000,700,"Pitampura, Delhi",2,1,0,0,0,0,0,0,0,0,0,0,0
6800000,581,"Vasant Kunj, Delhi",1,0,0,0,0,0,1,0,1,0,0,1,1
2650000,600,"Vasant Kunj, Delhi",1,1,0,0,0,0,0,0,0,0,0,0,0
10400000,1000,"Sector 18B Dwarka, Delhi",2,1,0,1,0,0,0,0,1,0,0,0,0
22500000,2150,"Sector 10 Dwarka, Delhi",3,1,1,0,0,1,1,0,0,0,1,1,0
28500000,2350,"Sector 11 Dwarka, Delhi",4,1,0,0,0,0,0,0,0,0,0,0,0
14000000,1500,"Sarita Vihar, Delhi",2,1,0,0,0,0,0,0,0,0,0,0,0
5499000,900,"Dwarka Mor, Delhi",3,0,0,0,0,1,1,0,0,0,0,0,0
3399000,720,"Dwarka Mor, Delhi",2,0,0,0,0,1,1,0,0,0,0,0,0
2349000,450,"Dwarka Mor, Delhi",2,0,0,0,0,1,1,0,0,0,0,0,0
6000000,990,"Dwarka Mor, Delhi",3,0,0,0,0,1,1,0,0,0,0,0,0
3199000,675,"Dwarka Mor, Delhi",3,0,0,0,0,1,1,0,0,0,0,0,0
4099000,765,"Dwarka Mor, Delhi",3,0,0,0,0,1,1,0,0,0,0,0,0
5499000,900,"Dwarka Mor, Delhi",3,0,1,0,0,0,0,0,0,0,0,1,0
3399000,720,"Dwarka Mor, Delhi",2,0,1,0,0,0,0,0,0,0,0,1,0
2349000,450,"Dwarka Mor, Delhi",2,0,1,0,0,0,0,0,0,0,0,1,0
5999000,990,"Dwarka Mor, Delhi",3,0,1,0,0,0,0,0,0,0,0,1,0
3199000,675,"Dwarka Mor, Delhi",3,0,1,0,0,0,0,0,0,0,0,1,0
4099000,765,"Dwarka Mor, Delhi",3,0,1,0,0,0,0,0,0,0,0,1,0
5499000,900,"Dwarka Mor, Delhi",3,0,0,0,0,0,1,0,0,0,0,1,0
3399000,720,"Dwarka Mor, Delhi",2,0,0,0,0,0,1,0,0,0,0,1,0
2299000,450,"Dwarka Mor, Delhi",2,0,0,0,0,0,1,0,0,0,0,1,0
6000000,990,"Dwarka Mor, Delhi",3,0,0,0,0,0,1,0,0,0,0,1,0
3199000,675,"Dwarka Mor, Delhi",3,0,0,0,0,0,1,0,0,0,0,1,0
4099000,765,"Dwarka Mor, Delhi",3,0,0,0,0,0,1,0,0,0,0,1,0
18900000,2150,"Sector 11 Dwarka, Delhi",4,1,0,0,0,0,0,0,0,0,0,0,0
17400000,1950,"Sector 4 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
13400000,1650,"Sector 2 Dwarka, Delhi",3,1,1,1,1,1,0,0,0,0,0,0,0
16399999,1750,"Sector 22 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
19200000,2250,"Sector 4 Dwarka, Delhi",4,1,0,0,0,0,0,0,0,0,0,0,0
2300000,410,"Uttam Nagar, Delhi",2,0,0,0,0,0,1,0,0,0,0,0,0
2600000,450,"Uttam Nagar, Delhi",2,0,0,0,0,0,1,0,0,0,0,0,0
5800000,750,"Uttam Nagar, Delhi",3,0,0,0,0,0,1,0,0,0,0,0,0
5000000,700,"Uttam Nagar, Delhi",3,0,0,0,0,0,1,0,0,0,0,0,0
4500000,650,"Uttam Nagar, Delhi",3,0,0,0,0,0,1,0,0,0,0,0,0
17000000,1450,"Sarita Vihar, Delhi",3,1,0,0,0,1,1,0,0,0,0,0,0
13500000,1400,"Sarita Vihar, Delhi",3,1,0,0,0,1,1,0,0,0,0,0,0
13000000,1150,"Sarita Vihar, Delhi",2,1,0,0,0,1,1,0,0,0,0,0,0
18300000,1550,"Sarita Vihar, Delhi",3,1,0,0,0,1,1,0,0,0,1,0,0
18000000,1500,"Sarita Vihar, Delhi",4,1,0,0,0,1,1,0,0,0,0,0,0
17000000,1550,"Sarita Vihar, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
19000000,1500,"Sarita Vihar, Delhi",3,1,0,1,0,0,0,0,0,0,1,0,0
18000000,1450,"Sarita Vihar, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
14000000,1200,"Sarita Vihar, Delhi",2,1,0,0,0,0,0,0,0,0,0,0,0
4500000,500,"Jasola, Delhi",1,1,0,0,1,1,1,0,0,0,0,0,0
16000000,1800,"Sector 6 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
15500000,1700,"Sector 4 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
16000000,1800,"Sector 13 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
24000000,2000,"Sector 13 Dwarka, Delhi",4,1,0,1,0,1,0,0,0,0,1,1,0
18000000,1900,"Sector 13 Dwarka, Delhi",4,1,0,1,1,1,1,0,0,0,0,1,0
16000000,1800,"Sector 6 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
15500000,1700,"Sector 13 Dwarka, Delhi",3,1,1,1,1,1,1,0,0,0,1,1,0
18000000,1900,"Sector 13 Dwarka, Delhi",4,1,0,1,0,1,0,0,0,0,1,1,0
17000000,1800,"Sector 7 Dwarka, Delhi",3,1,0,1,1,1,1,1,0,0,1,1,0
19500000,1900,"Sector 7 Dwarka, Delhi",4,1,0,0,0,0,0,0,0,0,0,0,0
16500000,1800,"Sector 5 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
15500000,1800,"Sector 12 Dwarka, Delhi",3,1,0,0,1,1,1,1,0,0,1,1,0
17500000,1800,"Sector 12 Dwarka, Delhi",3,1,0,0,0,1,0,0,0,0,1,1,0
4700000,820,"Dwarka Mor, Delhi",3,0,0,0,0,0,1,0,0,0,0,1,0
2700000,625,"Dwarka Mor, Delhi",2,0,0,0,0,0,1,0,0,0,0,1,0
2400000,525,"Dwarka Mor, Delhi",2,0,0,0,0,0,1,0,0,0,0,1,0
3500000,750,"Dwarka Mor, Delhi",2,0,0,0,0,0,1,0,0,0,0,1,0
4200000,850,"Dwarka Mor, Delhi",3,0,0,0,0,0,1,0,0,0,0,1,0
16500000,1700,"Sector 22 Dwarka, Delhi",3,1,1,0,1,1,1,0,0,0,1,1,0
16800000,1900,"Sector 6 Dwarka, Delhi",4,1,0,1,0,1,0,0,0,0,1,1,0
13799999,1700,"Sector 9 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
13000000,1700,"Sector 9 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
13000000,1700,"Sector 9 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
10500000,1400,"Sector 7 Dwarka, Delhi",2,1,0,1,1,1,1,1,0,0,1,1,0
19000000,1900,"Sector 13 Dwarka, Delhi",4,1,0,1,0,1,0,0,0,0,1,1,0
13000000,1700,"Sector 4 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
13000000,1700,"Sector 4 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
18000000,1900,"Sector 13 Dwarka, Delhi",4,1,0,1,1,1,1,0,0,0,1,1,0
19000000,1900,"Sector 13 Dwarka, Delhi",4,1,1,1,1,1,1,0,0,0,1,1,0
19500000,1900,"Sector 7 Dwarka, Delhi",4,1,0,1,0,1,0,0,0,0,1,1,0
18500000,1800,"Sector 2 Dwarka, Delhi",3,1,0,1,1,1,1,1,0,0,0,1,0
14500000,1800,"Sector 2 Dwarka, Delhi",3,1,1,0,1,1,0,0,0,0,0,0,0
14500000,1800,"Sector 2 Dwarka, Delhi",3,1,1,0,1,1,1,0,0,0,1,0,0
14500000,1800,"Sector 2 Dwarka, Delhi",3,1,1,1,1,1,1,0,0,0,1,1,0
15800000,1800,"Sector 2 Dwarka, Delhi",3,1,0,1,1,1,0,0,0,0,1,1,0
14500000,1800,"Sector 2 Dwarka, Delhi",3,1,1,1,1,1,0,0,0,0,1,1,0
19000000,2000,"Sector 2 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
17000000,1900,"Sector 10 Dwarka, Delhi",3,1,0,1,1,1,1,1,0,0,1,1,0
13799999,1700,"Sector 9 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
15800000,1700,"Sector 9 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
10000000,1100,"Sector 7 Dwarka, Delhi",2,1,0,0,0,0,0,0,0,0,0,0,0
14500000,1700,"Sector 6 Dwarka, Delhi",3,1,0,0,0,1,0,0,0,0,1,1,0
14500000,1700,"Sector 6 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
15500000,1600,"Sector 10 Dwarka, Delhi",3,1,0,0,0,1,0,0,0,0,1,1,0
15500000,1600,"Sector 10 Dwarka, Delhi",3,1,0,1,1,1,1,1,0,0,1,1,0
14500000,1500,"Sector 4 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
14500000,1500,"Sector 4 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
16500000,1600,"Sector 12 Dwarka, Delhi",3,1,1,1,1,1,1,1,0,0,1,1,0
17200000,1800,"Sector 22 Dwarka, Delhi",3,1,1,1,0,1,0,0,0,0,0,0,0
20900000,2200,"Sector 11 Dwarka, Delhi",4,1,0,0,0,1,0,0,0,0,1,1,0
19500000,1900,"Sector 4 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
15800000,1700,"Sector 13 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,0,1,0
17000000,1800,"Sector 23 Dwarka, Delhi",3,1,0,1,0,0,0,0,0,0,0,1,0
16000000,2000,"Sector 22 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,1,0
17500000,2000,"Sector 23 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,1,0
14900000,1800,"Sector 23 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,0,1,0
14500000,1900,"Pochanpur Colony, Delhi",3,1,0,1,0,0,0,0,0,0,0,1,0
17000000,1600,"Sector 22 Dwarka, Delhi",3,1,0,1,0,0,0,0,0,0,0,1,0
14500000,1900,"Pochanpur Colony, Delhi",3,1,0,1,0,0,0,0,0,0,0,1,0
20000000,2400,"Sector 11 Dwarka, Delhi",4,1,0,1,0,1,0,0,1,0,1,1,0
14500000,1800,"Sector 6 Dwarka, Delhi",3,1,1,1,1,1,0,0,1,0,1,1,0
16500000,1800,"Sector 11 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,0,1,0
16000000,1800,"Sector 11 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,0,1,0
15500000,1700,"Sector 11 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
23000000,2300,"Sector 11 Dwarka, Delhi",4,1,0,1,0,1,0,0,0,0,0,1,0
19500000,2100,"Sector 11 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
19500000,2100,"Sector 11 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
13500000,1700,"Sector 11 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,0,1,0
16500000,2200,"Sector 11 Dwarka, Delhi",4,1,0,1,0,1,0,0,0,0,0,1,0
17500000,2000,"Sector 11 Dwarka, Delhi",4,1,0,1,0,1,0,0,0,0,1,1,0
17500000,2000,"Sector 11 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
14500000,1800,"Sector 11 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
18500000,2000,"Sector 11 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
19000000,2000,"Sector 11 Dwarka, Delhi",3,1,0,1,0,0,0,0,0,0,1,1,0
22000000,2200,"Sector 11 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
27000000,3000,"Sector 11 Dwarka, Delhi",4,1,0,1,0,1,0,0,0,0,1,1,0
22000000,2200,"Sector 11 Dwarka, Delhi",4,1,0,1,0,1,0,0,0,0,1,1,0
19000000,2100,"Sector 11 Dwarka, Delhi",3,1,0,1,0,0,0,0,0,0,1,1,0
15000000,1800,"Sector 11 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
17500000,2600,"Sector 23 Rohini, Delhi",4,0,0,0,0,0,1,0,0,0,0,1,0
3500000,500,"Sector 23 Rohini, Delhi",2,0,0,0,0,0,1,0,0,0,0,1,0
2100000,360,"Sector 23 Rohini, Delhi",1,0,0,0,0,0,1,0,0,0,0,1,0
16000000,2250,"Sector 23 Rohini, Delhi",4,0,0,0,0,0,1,0,0,0,0,1,0
2300000,400,"Sector 23 Rohini, Delhi",1,0,0,0,0,0,1,0,0,0,0,1,0
4000000,650,"Sector 23 Rohini, Delhi",2,0,0,0,0,0,1,0,0,0,0,1,0
14500000,2000,"Sector 23 Rohini, Delhi",4,0,0,0,0,0,1,0,0,0,0,1,0
5300000,850,"Sector 23 Rohini, Delhi",3,0,0,0,0,0,1,0,0,0,0,1,0
4500000,800,"Sector 23 Rohini, Delhi",3,0,0,0,0,0,1,0,0,0,0,1,0
9700000,1300,"Sector 23 Rohini, Delhi",3,0,0,0,0,0,1,0,0,0,0,1,0
17000000,1800,"Dwarka Mor, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
15500000,1800,"Sector 10 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
15500000,1800,"Sector 10 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
15800000,1800,"Sector 10 Dwarka, Delhi",3,1,0,1,1,1,1,1,0,0,1,1,0
14000000,1800,"Sector 9 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
13500000,1600,"Sector 9 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
16500000,2000,"Sector 9 Dwarka, Delhi",3,1,1,1,1,1,1,0,0,0,1,1,0
14500000,1800,"Sector 9 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
15500000,2800,"Sector 9 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
21000000,2000,"Sector 9 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
15000000,1600,"Sector 9 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
16500000,1800,"Sector 10 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
24000000,1800,"Sector 9 Dwarka, Delhi",3,1,1,1,1,1,0,0,0,0,0,0,0
15600000,1800,"Sector 9 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
16000000,2400,"Sector 9 Dwarka, Delhi",3,1,0,1,1,1,1,1,0,0,1,1,0
16500000,1800,"Sector 9 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
14000000,1800,"Sector 9 Dwarka, Delhi",3,1,0,1,1,1,1,0,0,0,1,1,0
15800000,1900,"Sector 7 Dwarka, Delhi",4,1,0,1,0,1,0,0,0,0,1,1,0
17000000,1800,"Palam, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
17000000,1800,"Palam, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
18500000,2000,"Palam, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
18000000,1900,"Sector 7 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
16000000,1800,"Palam, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
17000000,1900,"Sector 7 Dwarka, Delhi",3,1,0,1,1,1,1,1,0,0,1,1,0
13000000,1700,"Sector 7 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
16000000,1800,"Sector 7 Dwarka, Delhi",3,1,1,1,1,1,1,1,0,0,1,1,0
13500000,1800,"Sector 5 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
13000000,1700,"Sector 5 Dwarka, Delhi",3,1,0,1,1,1,1,1,0,0,1,1,0
13000000,1600,"Sector 5 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
17000000,1900,"Sector 5 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,1,0
